,TLDs
0,AAA
1,AARP
2,ABARTH
3,ABB
4,ABBOTT
5,ABBVIE
6,ABC
7,ABLE
8,ABOGADO
9,ABUDHABI
10,AC
11,ACADEMY
12,ACCENTURE
13,ACCOUNTANT
14,ACCOUNTANTS
15,ACO
16,ACTOR
17,AD
18,ADAC
19,ADS
20,ADULT
21,AE
22,AEG
23,AERO
24,AETNA
25,AF
26,AFL
27,AFRICA
28,AG
29,AGAKHAN
30,AGENCY
31,AI
32,AIG
33,AIRBUS
34,AIRFORCE
35,AIRTEL
36,AKDN
37,AL
38,ALFAROMEO
39,ALIBABA
40,ALIPAY
41,ALLFINANZ
42,ALLSTATE
43,ALLY
44,ALSACE
45,ALSTOM
46,AM
47,AMAZON
48,AMERICANEXPRESS
49,AMERICANFAMILY
50,AMEX
51,AMFAM
52,AMICA
53,AMSTERDAM
54,ANALYTICS
55,ANDROID
56,ANQUAN
57,ANZ
58,AO
59,AOL
60,APARTMENTS
61,APP
62,APPLE
63,AQ
64,AQUARELLE
65,AR
66,ARAB
67,ARAMCO
68,ARCHI
69,ARMY
70,ARPA
71,ART
72,ARTE
73,AS
74,ASDA
75,ASIA
76,ASSOCIATES
77,AT
78,ATHLETA
79,ATTORNEY
80,AU
81,AUCTION
82,AUDI
83,AUDIBLE
84,AUDIO
85,AUSPOST
86,AUTHOR
87,AUTO
88,AUTOS
89,AVIANCA
90,AW
91,AWS
92,AX
93,AXA
94,AZ
95,AZURE
96,BA
97,BABY
98,BAIDU
99,BANAMEX
100,BANANAREPUBLIC
101,BAND
102,BANK
103,BAR
104,BARCELONA
105,BARCLAYCARD
106,BARCLAYS
107,BAREFOOT
108,BARGAINS
109,BASEBALL
110,BASKETBALL
111,BAUHAUS
112,BAYERN
113,BB
114,BBC
115,BBT
116,BBVA
117,BCG
118,BCN
119,BD
120,BE
121,BEATS
122,BEAUTY
123,BEER
124,BENTLEY
125,BERLIN
126,BEST
127,BESTBUY
128,BET
129,BF
130,BG
131,BH
132,BHARTI
133,BI
134,BIBLE
135,BID
136,BIKE
137,BING
138,BINGO
139,BIO
140,BIZ
141,BJ
142,BLACK
143,BLACKFRIDAY
144,BLOCKBUSTER
145,BLOG
146,BLOOMBERG
147,BLUE
148,BM
149,BMS
150,BMW
151,BN
152,BNPPARIBAS
153,BO
154,BOATS
155,BOEHRINGER
156,BOFA
157,BOM
158,BOND
159,BOO
160,BOOK
161,BOOKING
162,BOSCH
163,BOSTIK
164,BOSTON
165,BOT
166,BOUTIQUE
167,BOX
168,BR
169,BRADESCO
170,BRIDGESTONE
171,BROADWAY
172,BROKER
173,BROTHER
174,BRUSSELS
175,BS
176,BT
177,BUGATTI
178,BUILD
179,BUILDERS
180,BUSINESS
181,BUY
182,BUZZ
183,BV
184,BW
185,BY
186,BZ
187,BZH
188,CA
189,CAB
190,CAFE
191,CAL
192,CALL
193,CALVINKLEIN
194,CAM
195,CAMERA
196,CAMP
197,CANCERRESEARCH
198,CANON
199,CAPETOWN
200,CAPITAL
201,CAPITALONE
202,CAR
203,CARAVAN
204,CARDS
205,CARE
206,CAREER
207,CAREERS
208,CARS
209,CASA
210,CASE
211,CASH
212,CASINO
213,CAT
214,CATERING
215,CATHOLIC
216,CBA
217,CBN
218,CBRE
219,CBS
220,CC
221,CD
222,CENTER
223,CEO
224,CERN
225,CF
226,CFA
227,CFD
228,CG
229,CH
230,CHANEL
231,CHANNEL
232,CHARITY
